lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
26,161.0,0,10,17,4,1,2,2017,2,1
98,121.5,2,7,16,4,1,1,2018,2,1
433,70.0,0,9,8,3,3,0,2018,2,0
195,72.25,0,8,8,3,5,2,2018,2,1
188,130.0,0,6,15,3,2,0,2018,1,0
74,112.5,1,4,6,4,3,0,2018,2,0
273,95.0,0,5,13,3,2,1,2018,2,0
6,66.3,0,12,15,4,3,1,2018,2,1
89,83.66,1,3,21,4,5,2,2018,2,1
56,180.0,1,3,20,4,0,2,2018,2,0
103,114.3,1,7,12,4,5,1,2018,2,1
155,117.42,0,8,30,4,11,4,2018,1,0
3,128.8,0,6,11,4,1,0,2018,2,1
180,120.0,0,10,10,3,2,1,2018,1,0
92,89.85,2,7,12,4,4,0,2018,2,1
56,82.0,0,9,17,3,2,0,2017,2,1
279,110.0,0,10,12,4,3,0,2018,2,0
134,114.3,1,8,10,4,2,0,2018,2,1
8,139.0,1,3,25,4,2,0,2018,2,1
10,172.0,2,4,29,4,2,2,2018,3,1
2,148.0,1,8,21,4,0,2,2018,2,1
52,79.5,1,2,26,4,2,1,2018,2,0
116,61.0,0,2,28,3,1,2,2018,1,0
89,186.3,0,7,21,4,2,0,2018,2,0
193,120.0,0,6,20,4,2,1,2018,2,0
92,90.0,0,11,11,3,1,0,2018,2,1
95,130.5,1,7,1,4,3,2,2018,2,1
6,109.0,1,2,4,4,3,1,2018,2,0
60,106.2,1,4,1,4,2,1,2018,2,1
359,105.0,1,9,16,4,2,2,2018,2,0
67,88.4,2,11,23,4,4,0,2018,2,0
177,123.75,0,8,3,4,4,1,2018,2,0
101,54.06,0,4,12,4,5,1,2018,2,1
15,80.0,0,2,19,2,1,0,2018,1,1
30,94.2,0,8,31,4,1,0,2018,1,1
89,128.85,0,5,8,4,2,2,2018,2,1
21,133.5,0,9,29,4,4,0,2017,2,0
6,70.0,0,8,5,3,4,2,2017,2,1
135,119.85,2,6,16,4,3,1,2018,2,1
1,0.0,0,3,2,4,1,0,2018,1,1
37,145.8,2,9,21,4,3,1,2017,2,1
45,75.0,1,11,7,3,5,2,2018,2,1
168,72.25,2,8,12,3,3,2,2018,2,1
143,100.3,0,6,2,4,3,2,2018,2,0
25,75.2,0,11,29,4,1,0,2018,1,1
102,101.5,0,10,16,4,2,0,2017,2,0
4,81.6,2,12,5,3,2,2,2017,2,1
108,108.0,2,10,17,4,3,1,2018,2,1
8,65.0,1,7,28,2,1,0,2018,1,1
56,185.0,0,9,25,3,2,2,2017,2,1
12,220.0,0,8,19,4,1,0,2018,2,0
0,80.0,0,8,23,4,0,1,2017,1,1
37,75.0,1,10,30,3,1,2,2018,2,1
0,158.0,0,5,9,4,1,1,2018,3,1
39,87.0,0,8,14,3,2,0,2017,1,1
36,103.95,0,4,8,4,1,0,2018,2,1
63,131.75,2,7,26,3,5,0,2018,2,1
87,112.01,1,5,29,4,2,2,2018,0,1
58,79.2,1,11,13,4,2,1,2017,2,1
301,52.0,0,11,18,3,2,0,2018,2,0
346,115.0,1,9,13,4,2,0,2018,2,0
361,91.0,0,11,4,4,1,0,2018,1,0
3,65.0,0,6,6,2,0,1,2018,1,1
49,71.0,0,12,30,3,4,0,2017,2,1
19,135.0,0,5,7,4,1,0,2018,1,1
74,101.5,0,9,18,3,2,0,2017,2,1
34,107.1,1,6,14,4,3,0,2018,2,1
73,79.05,1,3,16,4,4,1,2018,2,0
0,67.0,0,11,25,2,1,0,2018,1,1
94,96.3,1,4,12,4,2,0,2018,2,1
134,76.58,1,5,9,4,4,1,2018,2,1
1,80.0,0,1,18,4,0,1,2018,1,1
75,127.8,1,7,30,4,1,0,2018,2,1
100,140.0,1,9,28,3,4,0,2018,2,1
91,116.1,0,6,18,4,1,1,2018,2,0
22,95.0,0,10,11,3,3,0,2018,2,1
13,153.0,0,8,24,4,1,1,2017,2,1
32,73.0,0,11,20,3,2,0,2017,1,1
63,126.9,1,6,9,4,3,0,2018,2,0
26,127.2,0,9,5,4,3,1,2018,3,0
296,117.0,1,9,21,4,4,0,2018,2,0
8,95.0,0,4,5,4,1,0,2018,1,0
7,130.67,0,8,13,4,1,2,2018,2,0
263,110.0,0,10,21,3,2,0,2018,2,0
140,70.0,0,12,29,3,5,0,2017,2,1
131,94.5,0,8,15,3,1,2,2017,2,1
6,137.0,0,3,3,4,3,0,2018,3,0
219,145.1,1,9,13,4,2,0,2018,2,0
19,75.0,0,7,18,3,1,1,2018,1,1
16,142.0,4,10,1,4,2,0,2017,3,1
57,75.0,0,9,16,3,2,0,2018,1,1
7,152.0,1,9,14,4,2,1,2017,2,1
18,65.0,1,10,18,2,1,0,2018,1,1
31,64.67,1,11,14,4,5,2,2018,2,1
6,85.0,0,8,28,3,1,2,2018,2,1
148,67.0,0,12,30,3,4,1,2017,2,1
63,118.33,3,11,10,4,3,0,2018,2,1
178,94.62,0,8,23,4,3,0,2018,2,0
151,71.0,0,1,19,3,4,0,2018,1,1
93,72.25,2,12,3,4,3,1,2017,2,1
102,86.4,2,12,6,4,2,0,2018,1,0
167,72.25,1,8,4,3,3,2,2018,2,1
57,103.8,1,10,30,4,1,2,2018,2,1
181,76.5,2,8,6,4,2,0,2017,2,0
245,107.59,0,9,22,4,5,2,2018,2,0
49,80.75,0,6,3,3,2,0,2018,2,1
71,120.0,0,6,14,3,3,0,2018,1,1
44,75.0,0,2,17,3,3,0,2018,2,1
2,63.75,0,6,26,3,3,2,2018,2,1
147,106.25,2,6,28,4,5,2,2018,2,1
0,223.0,0,5,19,4,1,0,2018,2,0
44,67.5,0,2,12,4,2,0,2018,2,0
116,59.5,0,3,25,4,2,2,2018,2,0
11,126.0,1,5,8,4,1,2,2018,2,1
129,114.3,1,8,6,4,1,0,2018,2,1
13,85.29,1,8,27,4,5,2,2017,2,0
186,80.75,0,9,2,3,2,2,2018,2,1
20,93.0,2,2,7,4,1,2,2018,2,1
12,95.0,0,2,15,4,3,1,2018,1,1
10,80.75,0,12,5,4,1,1,2017,2,1
102,59.5,0,11,7,3,2,1,2018,2,0
7,94.0,0,8,8,2,0,1,2018,1,1
